node,java,backend,benchmark,score_ns_op,score_error_ns_op,confidence_low_ns_op,confidence_high_ns_op,jdk_version,vm_name,vm_version,warmup_iterations,measurement_iterations,measurement_time,threads,forks,raw_samples,overhead_ns_op,overhead_error_ns_op,score_multiplier,overhead_multiplier
1.12.2-paper,8,instrumentation,baseline,0.37131778543035676,0.0033041395006201194,0.3680136459297366,0.3746219249309769,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[0.37037935098544567,0.3727472937337182,0.3687508928887281,0.3731270416934453,0.37115335048271264,0.3715930561454076,0.3714735120830401]]",0.0,0.0046727588937496385,1.0,0.0
1.12.2-paper,8,instrumentation,lead,78.27851561692042,0.8681569506176936,77.41035866630273,79.1466725675381,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[78.21149388657719,78.21832922787873,77.67326209014703,77.9384158039016,78.58221941510865,78.74537040822166,78.58051848660799]]",77.90719783149005,0.8681632382470776,210.81272884948328,209.81272884948328
1.12.2-paper,8,instrumentation,leadTrail,201.29815779519336,2.1726998163256206,199.12545797886773,203.470857611519,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[200.1525011061531,200.7970345731471,202.59051107710064,202.09391732233345,201.414973980867,201.89866010170311,200.1395064050488]]",200.926840009763,2.172702328713997,542.1182762950315,541.1182762950315
1.12.2-paper,8,instrumentation,predicateTrue,137.414697807159,1.3387546461134652,136.07594316104553,138.75345245327247,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[138.36758283317943,136.40441152205912,137.72726661346908,137.15036407939456,137.31890219017822,137.53445648121752,137.3999009306152]]",137.04338002172864,1.338758723530207,370.07302962311803,369.07302962311803
1.12.2-paper,8,instrumentation,siteInvoke,225.40799563602104,2.3834807302898553,223.0245149057312,227.7914763663109,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[225.30040140629626,226.14766115464917,224.53236389367055,226.62659057373688,224.18185058992708,224.4439647609119,226.62313707295544]]",225.03667785059068,2.383483020497713,607.0487449847669,606.0487449847669
1.12.2-paper,8,instrumentation,spliceProceed,128.54738011849616,1.1018114818558014,127.44556863664036,129.64919160035197,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[127.91796180661674,128.93155673686258,128.55236300227236,128.2672482197563,129.3998925242337,128.25526859130673,128.50736994842472]]",128.1760623330658,1.1018164361122575,346.1923591123165,345.1923591123165
1.12.2-paper,8,jvmti,baseline,0.372468069796491,0.003445136338957692,0.3690229334575333,0.3759132061354487,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[0.3709912073458681,0.3717435308156223,0.3728850625201855,0.3756822601150216,0.3720142315859426,0.3717099044270135,0.37225029176578384]]",0.0,0.00487215853477836,1.0,0.0
1.12.2-paper,8,jvmti,lead,78.28040866698825,0.9707719433338063,77.30963672365445,79.25118061032205,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[78.33821977377302,78.36125561560533,77.88157098173353,77.89914221800717,78.72696628066812,77.83841044238912,78.91729535674138]]",77.90794059719175,0.9707780564724817,210.16676331412538,209.16676331412535
1.12.2-paper,8,jvmti,leadTrail,202.6172744933326,3.728844226757491,198.88843026657509,206.3461187200901,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[200.35003301707158,201.97132363185537,202.63639650904625,202.39652438052923,205.53583565575218,201.64240080056217,203.78840745851122]]",202.2448064235361,3.7288458182642876,543.9856216508399,542.9856216508399
1.12.2-paper,8,jvmti,predicateTrue,139.09984049564304,2.272209734172625,136.8276307614704,141.37205022981567,1.8.0_472,OpenJDK 64-Bit Server VM,25.472-b08,3,7,500 ms,1,0,"[[138.98488827752988,138.46925419533977,140.31182330255825,138.50411663917075,140.41243354095585,139.35945246518133,137.65691504876543]]",138.72737242584654,2.2722123459380343,373.4544026059586,372.4544026059586
